AwayTeamAvgGoals,AwayTeamCreatonShooting,AwayTeamDefencePressure,AwayTeamOdds,AwayTeamPlaySpeed,GoalDiff,HomeTeamAvgGoals,HomeTeamCreatonShooting,HomeTeamDefencePressure,HomeTeamPlaySpeed,HomeTeamsOdds,corner_away_team,corner_home_team,crosses_away_team,crosses_home_team,on_target_shot_away_team,on_target_shot_home_team,possession_away_team,possession_home_team,red_card_away_team,red_card_home_team,yellow_card_away_team,yellow_card_home_team,HomeTeamRatings,AwayTeamRatings,win
2.176470588,35,57,3.262,49,-1,1.176470588,64,59,45,0.958,2,3,10,20,3,9,49,51,0,0,3,3,69.98387097,78.24074074,2
2.176470588,35,57,6.9,49,-4,1.277777778,49,44,61,0.767,3,2,13,11,4,4,68,32,0,0,1,3,67.80357143,78.24074074,2
2.176470588,35,57,3.369,49,-2,1.470588235,31,48,51,0.958,2,6,8,27,2,9,53,47,0,0,1,0,73.25,78.24074074,2
2.176470588,35,57,2.931,49,-1,1.25,45,53,54,1.008,1,2,15,11,5,3,62,38,0,0,2,2,70.73255814,78.24074074,2
2.176470588,35,57,2.678,49,-6,1.722222222,38,57,48,1.123,2,3,16,10,6,2,62,38,0,1,2,0,69.40963855,78.24074074,2
2.176470588,35,57,6.975,49,-12,0.684210526,46,43,49,0.765,8,5,17,13,7,8,59,41,0,1,0,1,66.23333333,78.24074074,2
2.176470588,35,57,4.046,49,0,1.444444444,44,57,51,0.879,3,5,18,13,2,4,64,36,0,0,2,1,70.65277778,78.24074074,0
2.176470588,35,57,3.921,49,-3,2.111111111,67,46,49,0.886,2,6,6,15,3,7,57,43,0,0,5,3,74.28735632,78.24074074,1
2.176470588,35,57,3.377,49,-1,1.611111111,23,56,52,0.939,2,3,15,15,9,2,65,35,0,0,1,0,72.2,78.24074074,2
2.176470588,35,57,4.605,49,-4,1.052631579,48,44,48,0.828,12,3,21,11,6,3,76,24,0,0,1,0,68.53424658,78.24074074,0
2.176470588,35,57,3.355,49,-9,1,53,43,62,0.974,7,7,11,16,8,2,71,29,0,0,2,3,69,78.24074074,2
2.176470588,35,57,4.486,49,-5,1.631578947,36,49,63,0.841,4,9,11,11,4,6,62,38,0,0,0,2,70.31666667,78.24074074,2
2.176470588,35,57,3.81,49,-5,1.388888889,64,46,64,0.924,3,1,20,12,4,2,60,40,0,0,0,0,70.43283582,78.24074074,2
2.176470588,35,57,4.908,49,-3,1.368421053,46,51,57,0.825,2,3,4,17,2,9,57,43,0,0,1,2,69.01515152,78.24074074,2
2.176470588,35,57,4.55,49,-3,1.588235294,58,33,48,0.839,9,3,24,10,8,4,63,37,0,0,2,2,70.64935065,78.24074074,0
2.176470588,35,57,6.45,49,-6,1.210526316,55,42,48,0.782,3,3,11,11,3,3,71,29,0,0,1,1,65.94915254,78.24074074,2
2.176470588,35,57,4.705,49,-6,1.5,36,36,49,0.837,7,2,10,11,3,5,71,29,0,0,0,1,69.95522388,78.24074074,2
1.210526316,44,57,2.111,51,-1,1.176470588,64,59,45,1.663,10,12,15,18,7,6,44,56,0,0,5,1,69.98387097,70.65277778,0
1.210526316,44,57,2.38,51,1,1.277777778,49,44,61,1.224,6,7,16,20,2,4,53,47,0,0,1,2,67.80357143,70.65277778,1
